indx,latitude,longitude
1,40.67,-74.363
2,40.631,-74.779
3,40.698,-75.177
4,40.797,-75.619
5,40.82,-76.021
6,40.783,-76.447
7,40.864,-76.814
8,40.902,-77.259
9,40.807,-77.715
10,40.81,-78.072
11,41.015,-78.403
12,41.09,-78.81
13,41.18,-79.229
14,41.317,-79.654
15,41.351,-80.085
16,41.387,-80.529
17,41.389,-81.03
18,41.24,-81.398
19,41.185,-81.836
20,41.172,-82.334
21,41.106,-82.753
22,41.097,-83.203
23,41.037,-83.661
24,41.028,-84.148
25,41.019,-84.613
26,41.019,-85.059
27,40.899,-85.459
28,40.802,-85.887
29,40.735,-86.358
30,40.522,-86.719
31,40.446,-87.135
32,40.461,-87.594
33,40.459,-88.07
34,40.348,-88.516
35,40.312,-88.969
36,40.308,-89.483
37,40.297,-89.98
38,40.217,-90.407
39,40.141,-90.837
40,40.088,-91.271
41,39.888,-91.525
42,39.664,-91.723
43,39.731,-92.197
44,39.761,-92.705
45,39.779,-93.18
46,39.74,-93.639
47,39.751,-94.136
48,39.747,-94.607
49,39.631,-94.977
50,39.424,-95.32
51,39.123,-95.594
52,39.081,-95.947
53,38.796,-96.095
54,38.507,-96.201
55,38.4,-96.559
56,38.223,-96.961
57,38.057,-97.38
58,38.028,-97.809
59,37.877,-98.234
60,37.723,-98.647
61,37.618,-99.045
62,37.575,-99.517
63,37.459,-99.976
64,37.285,-100.36
65,37.138,-100.76
66,36.927,-101.11
67,36.696,-101.46
68,36.479,-101.82
69,36.256,-102.2
70,36.028,-102.57
71,35.753,-102.89
72,35.513,-103.23
73,35.266,-103.53
74,35.122,-103.91
75,35.049,-104.37
76,34.969,-104.81
77,34.99,-105.25
78,35.011,-105.71
79,35.039,-106.14
80,35.072,-106.53
81,35.029,-106.96
82,35.034,-107.34
83,35.066,-107.72
84,35.321,-108
85,35.459,-108.39
86,35.577,-108.76
87,35.658,-109.16
88,35.728,-109.59
89,35.513,-109.9
90,35.386,-110.31
91,35.308,-110.75
92,35.304,-111.2
93,35.238,-111.57
94,35.249,-111.99
95,35.214,-112.42
96,35.316,-112.83
97,35.516,-113.2
98,35.458,-113.62
99,35.308,-113.92
100,34.994,-114.14
101,34.729,-114.35
102,34.892,-114.7
103,34.794,-115.14
104,34.563,-115.5
105,34.601,-115.95
106,34.746,-116.33
107,34.843,-116.76
108,34.844,-117.16
109,34.566,-117.32
110,34.28,-117.45
111,34.204,-117.4
